time,y_interpolated
0,100.0
1,117.997238600883
2,139.2334831743371
3,164.29166535354275
4,193.85962836858405
5,228.74900823686318
6,269.91751304640485
7,318.49521189493584
8,375.8155551120552
9,443.4519772648046
10,523.2610876934848
11,617.4336341512567
12,728.5546384915613
13,859.6743551186879
14,1014.3919999999998
15,1355.471505539358
16,1742.3542860731097
17,2168.645805606637
18,2627.9515281453237
19,3113.87691769455
20,3620.027438259699
21,4140.008553846153
22,4667.425728459294
23,5195.884426104507
24,5718.99011078717
25,6230.34824651267
26,6723.564297286385
27,7192.243727113702
28,7629.991999999998
29,8031.168027405246
30,8393.144510607759
31,8714.047598340436
32,8992.003439336173
33,9225.138182327877
34,9411.57797604844
35,9549.448969230767
36,9636.877310607759
37,9671.989148912311
38,9652.910632877327
39,9577.767911235702
40,9444.687132720337
41,9251.79444606414
42,8997.215999999999
43,8680.724795918368
44,8308.681245839873
45,7889.0926144427
46,7429.966166405023
47,6939.309166405023
48,6425.128879120878
49,5895.432569230768
50,5358.227501412872
51,4821.52094034537
52,4293.320150706436
53,3781.6323971742536
54,3294.464944427001
55,2839.825057142856
56,2425.72
57,2058.2809609329443
58,1736.1348209015473
59,1456.0323841220002
60,1214.7244548104954
61,1008.9618371832248
62,835.4953354563802
63,691.0757538461537
64,572.4538965687374
65,476.38056784032295
66,399.6065718771025
67,338.88271289526796
68,290.9597951110114
69,252.58862274052476
70,220.52000000000004
71,192.00991428571433
72,166.33508571428575
73,143.27741758241763
74,122.61881318681321
75,104.14117582417589
76,87.62640879120885
77,72.85641538461543
78,59.61309890109894
79,47.67836263736267
80,36.834109890109914
81,26.862243956043983
82,17.54466813186815
83,8.663285714285722
84,0.0
