mean
249.754
12.156
35.592
20.657
149.064
101.059
100.705
186.245
211.215
208.198
272.278
356.368
390.821
634.149
673.566
687.587
809.18
871.261
928.681
1001.323
1042.304
1123.919
1153.387
1156.044
1268.259
1184.909
1279.803
1198.344
1248.995
1213.433
1213.101
1187.621
1174.306
1098.356
1159.343
1009.526
1044.677
898.917
964.6
808.038
805.234
666.923
648.349
558.078
516.379
464.865
376.999
324.965
314.195
184.828
218.919
122.303
128.141
98.33
103.05
32.7
117.489
57.012
29.778
31.222
49.694
33.255
37.61
47.436
24.535
20.921
33.012
33.337
12.871
13.083
3.997
12.056
3.447
1.332
5.513
3.226
2.671
1.793
2.158
1.133
4.118
4.532
5.697
0
0
12.645
