,Unnamed: 0,id,age_group,location_x,location_y,kw_or_chr
0,0,0.0.0.0,22,-5.366204166666666,36.15046283333333,X
1,1,0.1.0.0,11,-5.366204166666666,36.15046283333333,X
2,2,0.1.0.1,51,-5.366204166666666,36.15046283333333,W
4,4,0.2.0.0,25,-5.366204166666666,36.15046283333333,W
81,81,1.0.0.0,7,-5.357870166666666,36.15046283333333,X
1575,1575,2.0.0.0,47,-5.349537166666666,36.15046283333333,X
1576,1576,2.0.0.1,50,-5.349537166666666,36.15046283333333,X
1577,1577,2.0.1.0,61,-5.349537166666666,36.15046283333333,X
